,,,Trustworthiness,,,Expertise,,,Physical Attractiveness,,,Social Attractiveness,,,Brand or Product Attributes,,,Purchase Intention,,,Manipulation Checks,,,
Timestamp,"By selecting the checkbox below, you acknowledge that you have read and understood the purpose and terms of this study. You voluntarily agree to participate, and you understand that your responses will remain anonymous and confidential.",Please enter your age,The influencer seems to be reliable,I feel the the influencer is honest,The influencer seems trustworthy with their claims,The influencer seems to be an expert of the field,The influencer gives useful and reliable advice regarding the product,The influencer has great knowledge of the product ,I feel that the influencer is attractive,The influencer carries themselves elegantly,The influencer looks professional in their posts,The influencer seems to have a lot of things in common with me,The influencer feels familiar to me,I think that the influencer is reliable and feels close to me,The brand/product promoted by the influencer seems interesting,The brand/product promoted by the influencer appears to be of good quality,The brand/product promoted by the influencer is quite appealing,I would consider buying the product that the influencer promotes,I am likely to try out products recommended by this influencer,There is a good chance I will purchase from this brand,The influencer seems to struggle with their life,The influencer shows imperfectness in the way they carry themselves,The influencer is known in traditional media,The influencer seems to live a luxurious life
10/29/2025 11:16:05,I give the consent to use the data.,2000 - 2007 (Generation Z),4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,3,1,2,1,2
10/29/2025 11:24:07,I give the consent to use the data.,1989 - 1996 (Millennial),5,5,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,3,3,4,4
10/29/2025 11:29:58,I give the consent to use the data.,1997 - 1999 (Generation Z),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10/29/2025 11:42:29,I give the consent to use the data.,2000 - 2007 (Generation Z),4,2,3,3,3,3,4,4,3,2,1,3,3,2,3,4,4,3,2,3,2,4
10/29/2025 12:43:07,I give the consent to use the data.,2000 - 2007 (Generation Z),3,3,3,4,2,3,4,5,4,1,2,2,4,4,4,3,3,4,1,2,2,4
10/29/2025 13:44:58,I give the consent to use the data.,2000 - 2007 (Generation Z),5,4,3,4,4,4,4,5,5,2,3,3,5,4,3,3,2,3,5,3,4,4
10/30/2025 10:55:57,I give the consent to use the data.,2000 - 2007 (Generation Z),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3
11/6/2025 10:08:54,I give the consent to use the data.,2000 - 2007 (Generation Z),4,3,4,4,3,4,3,3,4,3,3,2,2,3,2,2,2,2,3,3,2,4
11/6/2025 10:24:10,I give the consent to use the data.,2000 - 2007 (Generation Z),1,5,4,4,4,4,3,3,2,1,3,1,4,4,4,4,4,4,4,4,2,4
11/6/2025 10:54:59,I give the consent to use the data.,2000 - 2007 (Generation Z),5,4,4,4,4,5,5,5,5,3,3,4,5,5,5,4,5,4,2,1,2,5
11/6/2025 23:18:21,I give the consent to use the data.,2000 - 2007 (Generation Z),4,4,3,4,1,2,4,2,4,5,2,3,3,4,5,2,3,5,1,1,5,3
11/6/2025 23:18:59,I give the consent to use the data.,1965 - 1972 (Generation X),4,5,4,3,2,3,2,2,3,2,4,3,4,4,4,3,3,2,3,3,4,3
11/7/2025 23:40:18,I give the consent to use the data.,1997 - 1999 (Generation Z),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/7/2025 23:41:11,I give the consent to use the data.,2000 - 2007 (Generation Z),5,4,4,4,4,5,5,4,4,4,4,5,3,3,3,3,5,4,4,5,4,4
11/10/2025 14:48:19,I give the consent to use the data.,1997 - 1999 (Generation Z),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/10/2025 14:49:31,I give the consent to use the data.,2000 - 2007 (Generation Z),5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,5,5,4,4,4,4,5
11/10/2025 14:54:30,I give the consent to use the data.,1981 - 1988 (Millennial),4,5,5,4,3,3,4,5,5,3,3,4,3,4,5,5,4,4,5,5,5,5